epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29059,1.06034,0.88672,1.25985,0.86347,0.80731,0.86436,0.55611,1.34753,0.96793,1.42484,0.0011882,0.0011882,0.0011882
43,29739.9,1.07486,0.9243,1.26887,0.85511,0.76744,0.8456,0.55152,1.29694,0.9724,1.45557,0.0011684,0.0011684,0.0011684
44,30431,1.03944,0.86684,1.24004,0.88413,0.79402,0.87786,0.56269,1.32295,0.92758,1.41696,0.0011486,0.0011486,0.0011486
45,31119.2,1.04303,0.89068,1.2499,0.85386,0.78073,0.86665,0.5591,1.29132,0.91466,1.41343,0.0011288,0.0011288,0.0011288
46,31812.4,1.04868,0.87219,1.24798,0.90243,0.78738,0.86137,0.55685,1.33201,0.95521,1.46059,0.001109,0.001109,0.001109
47,32512,1.03505,0.85307,1.23238,0.84384,0.78989,0.87504,0.57511,1.26568,0.90628,1.38562,0.0010892,0.0010892,0.0010892
48,33221.8,1.01141,0.84907,1.23115,0.83098,0.84937,0.88663,0.58585,1.25233,0.90079,1.37668,0.0010694,0.0010694,0.0010694
49,33918.4,1.02984,0.84781,1.23549,0.81559,0.83056,0.86263,0.55924,1.34413,0.9445,1.46229,0.0010496,0.0010496,0.0010496
50,34599.1,0.99756,0.83178,1.219,0.86871,0.79136,0.86842,0.56625,1.29998,0.9083,1.42765,0.0010298,0.0010298,0.0010298
51,35280.9,0.98539,0.79554,1.2022,0.86232,0.82392,0.89019,0.59728,1.24248,0.85597,1.37081,0.00101,0.00101,0.00101
52,35962.2,0.99851,0.82485,1.22848,0.87776,0.8206,0.87544,0.58,1.27116,0.88704,1.37314,0.0009902,0.0009902,0.0009902
53,36643.2,0.98937,0.83145,1.21087,0.87382,0.83389,0.88182,0.57265,1.27624,0.90526,1.39012,0.0009704,0.0009704,0.0009704
54,37332.5,0.97645,0.80914,1.20622,0.90625,0.80399,0.87614,0.59073,1.25088,0.861,1.37363,0.0009506,0.0009506,0.0009506
55,38032.5,0.95901,0.78435,1.19426,0.86334,0.81856,0.84617,0.5659,1.28589,0.8649,1.43538,0.0009308,0.0009308,0.0009308
56,38739,0.96528,0.80155,1.20093,0.89698,0.8099,0.89207,0.60587,1.27761,0.85013,1.4018,0.000911,0.000911,0.000911
57,39438.1,0.95558,0.7746,1.18417,0.89041,0.83678,0.89407,0.59506,1.21906,0.85163,1.33442,0.0008912,0.0008912,0.0008912
58,40140.6,0.9488,0.75535,1.18682,0.89046,0.79734,0.85351,0.55702,1.29909,0.86275,1.41633,0.0008714,0.0008714,0.0008714
59,40839.4,0.94221,0.7588,1.18494,0.84719,0.82883,0.88228,0.59974,1.20965,0.85935,1.3357,0.0008516,0.0008516,0.0008516
60,41538.9,0.93627,0.75029,1.18369,0.89203,0.82346,0.87614,0.57984,1.25251,0.86343,1.38449,0.0008318,0.0008318,0.0008318
61,42236.3,0.93669,0.75002,1.17368,0.8611,0.80328,0.84597,0.56053,1.27929,0.88381,1.42432,0.000812,0.000812,0.000812
62,42936.6,0.92804,0.73436,1.1713,0.88958,0.80293,0.88284,0.56967,1.29319,0.87278,1.39401,0.0007922,0.0007922,0.0007922
63,43631.1,0.9246,0.73961,1.16464,0.89091,0.78687,0.87636,0.59251,1.23281,0.87927,1.34632,0.0007724,0.0007724,0.0007724
64,44314.7,0.90049,0.73899,1.16527,0.87104,0.84718,0.90797,0.60748,1.23799,0.80359,1.33717,0.0007526,0.0007526,0.0007526
65,45029.1,0.88703,0.73336,1.15404,0.85086,0.83395,0.87929,0.58263,1.25259,0.86747,1.35346,0.0007328,0.0007328,0.0007328
66,45735.2,0.89011,0.70808,1.15039,0.91066,0.83389,0.88971,0.57877,1.25538,0.86654,1.39125,0.000713,0.000713,0.000713
67,46438.6,0.89549,0.69745,1.14229,0.90382,0.81172,0.88482,0.59048,1.25145,0.8371,1.37153,0.0006932,0.0006932,0.0006932
68,47142.8,0.88459,0.68479,1.13868,0.90648,0.82392,0.89577,0.60456,1.21776,0.80985,1.33249,0.0006734,0.0006734,0.0006734
69,47836.5,0.87812,0.68366,1.13835,0.89511,0.85382,0.89725,0.6137,1.20969,0.76765,1.33367,0.0006536,0.0006536,0.0006536
70,48537.8,0.86774,0.67717,1.13247,0.90878,0.83389,0.86999,0.59083,1.24137,0.85882,1.3792,0.0006338,0.0006338,0.0006338
71,49241.7,0.86254,0.6774,1.13312,0.91564,0.8206,0.89997,0.61287,1.2117,0.78971,1.34409,0.000614,0.000614,0.000614
72,49932.9,0.84909,0.67162,1.12894,0.92071,0.84385,0.89297,0.6056,1.2418,0.81374,1.38279,0.0005942,0.0005942,0.0005942
73,50633,0.84603,0.64883,1.12896,0.9169,0.84314,0.90439,0.6024,1.25354,0.79471,1.37462,0.0005744,0.0005744,0.0005744
74,51326.6,0.84131,0.65166,1.11585,0.89858,0.8206,0.9017,0.60173,1.25851,0.82002,1.38254,0.0005546,0.0005546,0.0005546
75,52029.2,0.8415,0.64875,1.11948,0.89078,0.82392,0.88787,0.60336,1.24184,0.82827,1.37043,0.0005348,0.0005348,0.0005348
76,52718.7,0.84562,0.65844,1.12716,0.8868,0.83288,0.86399,0.57634,1.24402,0.84577,1.3866,0.000515,0.000515,0.000515
77,53422.3,0.84062,0.675,1.12552,0.91488,0.82724,0.90943,0.61869,1.21174,0.78271,1.34352,0.0004952,0.0004952,0.0004952
78,54124.9,0.81835,0.62793,1.11094,0.89372,0.8381,0.905,0.62457,1.19634,0.76942,1.34243,0.0004754,0.0004754,0.0004754
79,54812.8,0.81269,0.63381,1.1088,0.92739,0.82724,0.89565,0.6087,1.22223,0.77727,1.35785,0.0004556,0.0004556,0.0004556
80,55499.8,0.79799,0.61008,1.09039,0.92222,0.81395,0.8879,0.60231,1.23014,0.80438,1.36496,0.0004358,0.0004358,0.0004358
81,56185.9,0.81411,0.62253,1.10461,0.92789,0.81227,0.87946,0.59409,1.25319,0.81391,1.37713,0.000416,0.000416,0.000416
82,56875.3,0.82023,0.628,1.11268,0.90949,0.83464,0.89475,0.61297,1.21587,0.77041,1.32649,0.0003962,0.0003962,0.0003962
83,57570.7,0.78822,0.60852,1.09726,0.93166,0.8153,0.88755,0.61159,1.18018,0.767,1.31464,0.0003764,0.0003764,0.0003764
84,58265.2,0.79635,0.60576,1.08191,0.92584,0.82947,0.90216,0.61771,1.21051,0.75851,1.32765,0.0003566,0.0003566,0.0003566
